date,open,high,low,close
2017/10/10,52.86,55.63,52.62,54.86
2017/10/11,54.75,54.78,53.36,54.09
2017/10/12,54.02,55.58,53.6,54.29
2017/10/13,54,54.48,53.39,54.03
2017/10/16,54.06,55,51.56,51.62
2017/10/17,51.25,52.2,51,51.7
2017/10/18,51.86,52.05,50.3,50.66
2017/10/19,50.73,51.16,48.6,49.06
2017/10/20,48.98,49.98,48.94,49.8
2017/10/23,49.82,50.85,49.82,50.47
2017/10/24,50.5,50.66,49.16,50.01
2017/10/25,50.21,51.77,50.06,51.46
2017/10/26,51.22,52.55,51.02,52.42
2017/10/27,52.5,52.5,51.52,52.12
2017/10/30,52.01,52.68,50.38,50.47
2017/10/31,50.5,51.4,50.3,51.08
2017/11/1,51.14,53.7,50.76,52.66
2017/11/2,52.78,54.35,52.29,53.34
2017/11/3,53.34,54.1,52.06,52.85
2017/11/6,52.79,54.5,52.5,54.44
2017/11/7,54.22,54.75,53.6,54.69
2017/11/8,54.99,54.99,53.32,53.35
2017/11/9,53,53.79,52.81,53.52
2017/11/10,53.4,56.7,53.21,56.69
2017/11/13,56.21,57.8,55.59,57.44
2017/11/14,57.01,57.34,55.89,56.3
2017/11/15,56,56.99,53.87,53.98
2017/11/16,53.72,54.8,53.5,53.91
2017/11/17,54.3,55.7,51.76,52.18
2017/11/20,51,51.83,49.11,51.33
2017/11/21,51.28,53.27,51,52.28
2017/11/22,51.9,53.68,51.5,52.36
2017/11/23,51.81,52.15,49.9,49.93
2017/11/24,49.5,50.61,48.9,48.98
2017/11/27,49.33,50.39,47.85,48.37
2017/11/28,48.47,49.65,48.2,49.47
2017/11/29,49.5,49.5,47.6,48.49
2017/11/30,48.01,48.48,46.8,47
2017/12/1,47.2,48.3,47,47.9
2017/12/4,47.7,47.85,47.06,47.26
2017/12/5,47.3,47.79,42.88,43.98
2017/12/6,44.17,45.07,43.7,44.92
