,JDGF,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,date,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,ma10,ma5,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2017-10-18 07:00:00+00:00,50.66,,0.0,,0.762707831049,,,0.0,2017-10-18 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,53.3133333333,53.3133333333,0.0,0.0,0.0,[],2017-10-18 07:00:00+00:00,2017-10,2017-10-18 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,1,[],0.0
2017-10-19 07:00:00+00:00,49.06,0.0,0.0,0.0,0.789307132563,8.39198908318,0.0,0.0,2017-10-19 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,52.45,52.45,0.0,0.0,0.0,[],2017-10-19 07:00:00+00:00,2017-10,2017-10-19 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,2,[],0.0
2017-10-20 07:00:00+00:00,49.8,0.0,0.0,0.0,1.11355546468,6.23184552438,0.0,0.0,2017-10-20 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,51.3266666667,51.3266666667,0.0,0.0,0.0,[],2017-10-20 07:00:00+00:00,2017-10,2017-10-20 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,3,[],0.0
2017-10-23 07:00:00+00:00,50.47,0.0,0.0,0.0,3.07561498361,7.0163614704,0.0,0.0,2017-10-23 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,50.4733333333,50.4733333333,0.0,0.0,0.0,[],2017-10-23 07:00:00+00:00,2017-10,2017-10-23 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,4,[],0.0
2017-10-24 07:00:00+00:00,50.01,0.0,0.0,0.0,5.52547990185,6.14525931723,0.0,0.0,2017-10-24 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,49.84,49.84,0.0,0.0,0.0,[],2017-10-24 07:00:00+00:00,2017-10,2017-10-24 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,5,[],0.0
2017-10-25 07:00:00+00:00,51.46,0.0,0.0,0.0,9.67551262661,5.56906974919,0.0,0.0,2017-10-25 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,49.7766666667,49.7766666667,0.0,0.0,0.0,[],2017-10-25 07:00:00+00:00,2017-10,2017-10-25 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,6,[],0.0
2017-10-26 07:00:00+00:00,52.42,0.0,0.0,0.0,10.7390064616,5.67711339887,0.0,0.0,2017-10-26 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,50.0933333333,50.0933333333,0.0,0.0,0.0,[],2017-10-26 07:00:00+00:00,2017-10,2017-10-26 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,7,[],0.0
2017-10-27 07:00:00+00:00,52.12,0.0,0.0,0.0,11.078790498,5.78740024782,0.0,0.0,2017-10-27 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,50.6466666667,50.6466666667,0.0,0.0,0.0,[],2017-10-27 07:00:00+00:00,2017-10,2017-10-27 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,8,[],0.0
2017-10-30 07:00:00+00:00,50.47,0.0,0.0,0.0,15.446349455,5.41885912659,0.0,0.0,2017-10-30 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,51.2966666667,51.2966666667,0.0,0.0,0.0,[],2017-10-30 07:00:00+00:00,2017-10,2017-10-30 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,9,[],0.0
2017-10-31 07:00:00+00:00,51.08,0.0,0.0,0.0,17.8126149536,5.27023748584,0.0,0.0,2017-10-31 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,52.0,52.0,0.0,0.0,0.0,[],2017-10-31 07:00:00+00:00,2017-10,2017-10-31 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,10,[],0.0
2017-11-01 07:00:00+00:00,52.66,0.0,0.0,0.0,31.5222349076,5.27740036593,0.0,0.0,2017-11-01 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,51.67,51.67,0.0,0.0,0.0,[],2017-11-01 07:00:00+00:00,2017-11,2017-11-01 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,11,[],0.0
2017-11-02 07:00:00+00:00,53.34,0.0,0.0,0.0,53.2088987506,5.16978314803,0.0,0.0,2017-11-02 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,51.2233333333,51.2233333333,0.0,0.0,0.0,[],2017-11-02 07:00:00+00:00,2017-11,2017-11-02 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,12,[],0.0
2017-11-03 07:00:00+00:00,52.85,0.0,0.0,0.0,66.8477271993,5.01128261435,0.0,0.0,2017-11-03 07:00:00+00:00,100000.0,0.0,0.0,0.0,0.0,0,0,0,51.4033333333,51.4033333333,0.0,0.0,0.0,[],2017-11-03 07:00:00+00:00,2017-11,2017-11-03 01:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,13,[],0.0
